record,name,year,debut,region,team,pos,gp,k
---------x-,Shini,2020,2020,BRL,INTZ,Jungle,5,8
---------x-,SofM,2020,2020,CN,Suning,Jungle,19,53
---------x-,Solo,2020,2020,NA,FlyQuest,Top,6,7
---------x-,Spica,2020,2020,NA,TSM,Jungle,6,11
---------x-,Tank,2020,2020,PCS,PSG Talon,Middle,6,10
---------x-,Tay,2020,2020,BRL,INTZ,Top,5,23
---------x-,Topoon,2020,2020,OCE,Legacy Esports,Top,8,21
---------x-,Yagao,2020,2020,CN,JD Gaming,Middle,10,23
---------x-,yuyanjia,2020,2020,CN,Top Esports,Support,15,9
---------x-,Zoom,2020,2020,CN,JD Gaming,Top,10,38
-x----xxx--,Edward,2019,2012,CIS,Unicorns of Love.CIS,Support,34,23
--xx-x-xx--,Mata,2019,2013,KR,T1,Support,58,49
--xxxxxxx--,Sneaky,2019,2013,NA,Cloud9,ADC,78,248
--xx-xxxx--,Uzi,2019,2013,CN,Royal Never Give Up,ADC,81,399
--x-xxxxx--,Xmithie,2019,2013,NA,Team Liquid,Jungle,47,80
---x-xxxx--,Svenskeren,2019,2014,NA,Cloud9,Jungle,34,97
----x---x--,brTT,2019,2015,BRL,Flamengo Esports,ADC,11,31
----x--xx--,G4,2019,2015,PCS,MEGA,Middle,14,35
----x-x-x--,Huni,2019,2015,NA,Clutch Gaming,Top,45,122
----x--xx--,Lloyd,2019,2015,PCS,MEGA,Jungle,14,20
----x--xx--,Rookie,2019,2015,NA,Invictus Gaming,Middle,38,146
----x------,Zin,2019,2015,VNM,GAM Esports,ADC,6,12
----xxx-x--,Ziv,2019,2015,PCS,ahq eSports Club,Top,28,60
-----x--x--,Kobbe,2019,2016,EU,Splyce,ADC,26,110
------x-x--,Cody Sun,2019,2017,NA,Clutch Gaming,ADC,21,71
------x-x--,Destiny,2019,2017,OCE,MAMMOTH,Support,10,6
------xxx--,k1ng,2019,2017,OCE,MAMMOTH,ADC,14,35
------x-x--,Levi,2019,2017,VNM,GAM Esports,Jungle,13,34
------x-x--,Oddie,2019,2017,LAM,Isurus,Jungle,15,24
------x-x--,Seiya,2019,2017,LAM,Isurus,Middle,15,37
